addr,kyc
0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,true
0x1d52798dcad378582ce1f5fc6607f1bb070dce40,false
0xb9073ef0315c366af174964fc67035179c709e36,false
0xa63e6fa45c2b5ef7e92da14d0eef11831067251b,false
0xcacf8acde3a136fb8539cc0042929cd470e7c5a1,false
0xb793ac80ca6090a1d0c92ea39e980eb6f5990ebf,false
0xff685c61d74e3ed09be362e8015426ed416e4675,false
0xd20cb9aa18a2185120d7c63d93899646e5ecf025,false
0x5997b475baddd2dfd2b7dd9487e2994d57990a19,false
0x4275eeedef1ea058f9ae0e4b29cffa5364a90924,false
0x32d47307116593707391588ca62f06af4ab30168,false
0x8da5850ec77ca776620c49c1d5ca0bfba7e268ea,false
0x3ee1c068fc9653489a5d03ab925047efeeb4bc26,false
0xc762e9e5b8258b28b1cb7d38c7c15a4a36f87afa,false
0x6cf69059dd4a86987bc8a4c334b83ea8fa9f4037,false
0xb9246e488eaf86fae84a0fa4ece88d1baccbb914,false
0xce2baaacae0c34e9d2c15c478ad53d7ec3ee582d,false
0x450d66204af676f4653f05c05092858b1b998b2e,false
0x1bb2e601b16a84df18436ae9fddea931fde53f7e,false
0x0bcdb57ae247f434c91b1d4521ffd6601f7e8999,false
0xdcef1e9a432cb45a143245baaaa75231e7d54724,false
0x30551833af705e006a2f96237ee936228b66aeb5,false
0xba4bb4e7102229d0f288f04bea3ea7e61c9c2ab6,false
0x00b90b1feb765c335da3dc93cf89b7fb52c41cc3,false
0xd5c7aadeabddd49ead07f7eaa89c24824cce6745,true
0x37bb8eedcd653a5590008f62d72a6653be292131,false
0xf5fc648b95fdaed67affb81446413675c73cf4d6,false
0x13896e55e727a037d0905ebf973c6c3a773ea927,false
0xbb2090f86ed1202dedc0eb08f0ba03bbe9419318,false
0xd0af3c7af8db2ddd31aab6bb7f4a14831eb7ff6c,false
0x45ff1cd8e1e70b206260f1db5dddaa93ba73cc83,false
0xa8ac2b7148e3f60492d48d63d10a0e8469b3fbde,false
0x900b0ad3176df8a6ad155d197e1ce1a1294f781b,false
0xda1d2f428fe43682965d95416b5441fcf8d472a8,false
